" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   229, -1.90942e-02, -1.90942e-02, -1.90944e-02,  3.42269e-02, -3.54085e-02,  1.18188e-03,
   230, -1.32399e-02, -1.36164e-02, -2.17645e-02,  3.33820e-02, -3.47053e-02,  1.59174e-03,
   231, -2.50483e-02, -2.48512e-02, -1.62520e-02,  3.51405e-02, -3.59274e-02,  7.77022e-04,
   232, -2.48929e-02, -2.48929e-02, -2.48931e-02,  3.58717e-02, -3.67479e-02,  8.76534e-04,
   233, -2.50067e-02, -2.50067e-02, -2.50068e-02,  3.58891e-02, -3.64533e-02,  5.64314e-04,
   234, -1.90526e-02, -1.92497e-02, -2.78493e-02,  3.51474e-02, -3.59207e-02,  7.83833e-04,
   235, -3.10708e-02, -3.09884e-02, -2.20310e-02,  3.66048e-02, -3.69256e-02,  3.21556e-04,
   236, -3.10058e-02, -3.10059e-02, -3.10059e-02,  3.70802e-02, -3.74768e-02,  3.96916e-04,
   237, -3.10534e-02, -3.10534e-02, -3.10534e-02,  3.71141e-02, -3.73235e-02,  2.09330e-04,
   238, -2.49893e-02, -2.50718e-02, -3.40292e-02,  3.66044e-02, -3.69260e-02,  3.21168e-04,
   239, -3.72162e-02, -3.71923e-02, -2.79883e-02,  3.76025e-02, -3.76923e-02,  8.97160e-05,
   240, -3.71974e-02, -3.71974e-02, -3.71974e-02,  3.79049e-02, -3.80463e-02,  1.41611e-04,
   241, -3.72112e-02, -3.72112e-02, -3.72112e-02,  3.79366e-02, -3.79795e-02,  4.27170e-05,
   242, -3.10484e-02, -3.10723e-02, -4.02763e-02,  3.76026e-02, -3.76923e-02,  8.98329e-05,
   243, -4.34548e-02, -4.34548e-02, -3.40893e-02,  3.82557e-02, -3.82557e-02,    0.0,    
   244, -4.34548e-02, -4.34548e-02, -4.34548e-02,  3.84227e-02, -3.84490e-02,  2.64539e-05,
   245, -4.34548e-02, -4.34548e-02, -4.34548e-02,  3.84490e-02, -3.84227e-02, -2.64538e-05,
   246, -3.72113e-02, -3.72113e-02, -4.65766e-02,  3.82558e-02, -3.82558e-02,    0.0,    
   247, -4.97485e-02, -4.97601e-02, -4.02999e-02,  3.86343e-02, -3.85916e-02, -3.82051e-05,
   248, -4.97577e-02, -4.97577e-02, -4.97576e-02,  3.87148e-02, -3.86954e-02, -1.88496e-05,
   249, -4.97510e-02, -4.97510e-02, -4.97508e-02,  3.87574e-02, -3.86594e-02, -1.01209e-04,
   250, -4.34573e-02, -4.34457e-02, -5.29057e-02,  3.86318e-02, -3.85945e-02, -4.13056e-05,
   251, -5.60570e-02, -5.60924e-02, -4.65736e-02,  3.88618e-02, -3.87380e-02, -1.48929e-04,
   252, -5.60850e-02, -5.60850e-02, -5.60848e-02,  3.88886e-02, -3.88018e-02, -9.10842e-05,
   253, -5.60645e-02, -5.60645e-02, -5.60643e-02,  3.88769e-02, -3.87237e-02, -1.58678e-04,
   254, -4.97585e-02, -4.97231e-02, -5.92416e-02,  3.89322e-02, -3.86805e-02, -7.15720e-05,
   255, -4.34546e-02, -4.33554e-02, -6.24371e-02,  3.89986e-02, -3.86090e-02, -5.72338e-06,
   256, -4.97589e-02, -4.97230e-02, -6.87730e-02,  3.89926e-02, -3.87095e-02,  2.46304e-05,
   257, -4.97587e-02, -4.97228e-02, -6.87179e-02,  3.89972e-02, -3.86085e-02, -4.20351e-06,
   258, -4.34548e-02, -4.33552e-02, -7.19135e-02,  3.90641e-02, -3.85782e-02,  7.43170e-05,
   259, -3.71461e-02, -3.69635e-02, -7.51245e-02,  3.91236e-02, -3.85419e-02,  1.39740e-04,
   260, -4.34279e-02, -4.33625e-02, -8.14648e-02,  3.90836e-02, -3.86462e-02,  1.25913e-04,
   261, -4.34476e-02, -4.33822e-02, -8.13831e-02,  3.91211e-02, -3.85412e-02,  1.41397e-04,
   262, -3.71389e-02, -3.69906e-02, -8.45942e-02,  3.91658e-02, -3.85300e-02,  1.95759e-04,
   263, -3.08225e-02, -3.05822e-02, -8.78153e-02,  3.92080e-02, -3.85175e-02,  2.46412e-04,
   264, -3.70918e-02, -3.70033e-02, -9.41603e-02,  3.91495e-02, -3.86167e-02,  2.05211e-04,
   265, -3.71263e-02, -3.70378e-02, -9.40633e-02,  3.92061e-02, -3.85170e-02,  2.47960e-04,
   266, -3.08099e-02, -3.06294e-02, -9.72844e-02,  3.92340e-02, -3.85108e-02,  2.82000e-04,
   267, -2.44876e-02, -2.42101e-02, -1.00512e-01,  3.92645e-02, -3.85056e-02,  3.19115e-04,
   268, -3.07492e-02, -3.06458e-02, -1.06860e-01,  3.91920e-02, -3.86010e-02,  2.57557e-04,
   269, -3.07937e-02, -3.06903e-02, -1.06754e-01,  3.92617e-02, -3.85048e-02,  3.21073e-04,
   270, -2.44713e-02, -2.42710e-02, -1.09982e-01,  3.92780e-02, -3.84955e-02,  3.36411e-04,
   271, -1.81476e-02, -1.78447e-02, -1.13214e-01,  3.93001e-02, -3.84859e-02,  3.61931e-04,
   272, -2.44028e-02, -2.42894e-02, -1.19564e-01,  3.92189e-02, -3.85841e-02,  2.88216e-04,
   273, -2.44530e-02, -2.43396e-02, -1.19450e-01,  3.92994e-02, -3.84857e-02,  3.62458e-04,
   274, -1.81293e-02, -1.79133e-02, -1.22682e-01,  3.93032e-02, -3.84635e-02,  3.59168e-04,
   275, -1.18119e-02, -1.14843e-02, -1.25917e-01,  3.93133e-02, -3.84405e-02,  3.68285e-04,
   276, -1.80595e-02, -1.79321e-02, -1.32264e-01,  3.92392e-02, -3.85392e-02,  2.99427e-04,
   277, -1.81106e-02, -1.79831e-02, -1.32142e-01,  3.93163e-02, -3.84412e-02,  3.66110e-04,
   278, -1.17932e-02, -1.15541e-02, -1.35377e-01,  3.93085e-02, -3.84225e-02,  3.51954e-04,
   279, -1.86420e-02, -1.86420e-02, -1.86424e-02,  3.49954e-02, -3.66797e-02,  1.68453e-03,
   280, -2.48466e-02, -2.44399e-02, -1.58178e-02,  3.51438e-02, -3.69313e-02,  1.59991e-03,
   281, -2.45259e-02, -2.45260e-02, -2.45263e-02,  3.59903e-02, -3.76500e-02,  1.66285e-03,
   282, -2.47607e-02, -2.47607e-02, -2.47609e-02,  3.59248e-02, -3.72323e-02,  1.30690e-03,
   283, -1.85561e-02, -1.89628e-02, -2.75856e-02,  3.52695e-02, -3.68062e-02,  1.72554e-03,
   284, -3.09907e-02, -3.07619e-02, -2.18022e-02,  3.66243e-02, -3.75305e-02,  9.10805e-04,
   285, -3.08103e-02, -3.08104e-02, -3.08105e-02,  3.70626e-02, -3.80760e-02,  1.02528e-03,
   286, -3.09424e-02, -3.09424e-02, -3.09425e-02,  3.71015e-02, -3.77881e-02,  6.85239e-04,
   287, -2.47124e-02, -2.49413e-02, -3.39013e-02,  3.66215e-02, -3.75349e-02,  9.08362e-04,
   288, -3.71951e-02, -3.70854e-02, -2.78911e-02,  3.75693e-02, -3.79976e-02,  4.23184e-04,
   289, -3.71086e-02, -3.71087e-02, -3.71086e-02,  3.78186e-02, -3.83695e-02,  5.59116e-04,
   290, -3.71720e-02, -3.71720e-02, -3.71720e-02,  3.78970e-02, -3.82041e-02,  3.06022e-04,
   291, -3.09192e-02, -3.10291e-02, -4.02234e-02,  3.75727e-02, -3.79951e-02,  4.27052e-04,
   292, -4.34574e-02, -4.34134e-02, -3.40593e-02,  3.82160e-02, -3.83851e-02,  1.63063e-04,
   293, -4.34227e-02, -4.34228e-02, -4.34227e-02,  3.83424e-02, -3.86053e-02,  2.68605e-04,
   294, -4.34481e-02, -4.34481e-02, -4.34480e-02,  3.84075e-02, -3.85138e-02,  1.05472e-04,
   295, -3.71627e-02, -3.72068e-02, -4.65607e-02,  3.82200e-02, -3.83818e-02,  1.67319e-04,
   296, -4.97601e-02, -4.97485e-02, -4.02999e-02,  3.85916e-02, -3.86343e-02,  3.82051e-05,
   297, -4.97510e-02, -4.97510e-02, -4.97508e-02,  3.86594e-02, -3.87574e-02,  1.01209e-04,
   298, -4.97577e-02, -4.97577e-02, -4.97576e-02,  3.86954e-02, -3.87148e-02,  1.88496e-05,
   299, -4.34457e-02, -4.34573e-02, -5.29057e-02,  3.85945e-02, -3.86318e-02,  4.13057e-05,
   300, -5.60907e-02, -5.60907e-02, -4.65910e-02,  3.87942e-02, -3.87942e-02,    0.0,    
   301, -5.60908e-02, -5.60908e-02, -5.60906e-02,  3.88308e-02, -3.88529e-02,  2.39270e-05,
   302, -5.60908e-02, -5.60908e-02, -5.60906e-02,  3.88529e-02, -3.88308e-02, -2.39270e-05,
   303, -4.97577e-02, -4.97577e-02, -5.92572e-02,  3.87943e-02, -3.87943e-02,    0.0,    
   304, -6.24314e-02, -6.24415e-02, -5.29133e-02,  3.89007e-02, -3.88717e-02, -4.28976e-05,
   305, -6.24394e-02, -6.24394e-02, -6.24392e-02,  3.89151e-02, -3.88975e-02, -1.81947e-05,
   306, -6.24336e-02, -6.24336e-02, -6.24333e-02,  3.89077e-02, -3.88632e-02, -4.74949e-05,
   307, -5.60930e-02, -5.60829e-02, -6.56106e-02,  3.89425e-02, -3.88422e-02,  3.25397e-06,
   308, -4.97530e-02, -4.97172e-02, -6.87983e-02,  3.89825e-02, -3.88017e-02,  4.16191e-05,
   309, -5.60851e-02, -5.60851e-02, -7.51482e-02,  3.89546e-02, -3.88606e-02,  2.82749e-05,
   310, -5.60909e-02, -5.60909e-02, -7.51229e-02,  3.89806e-02, -3.88009e-02,  4.28786e-05,
   311, -4.97510e-02, -4.97252e-02, -7.83105e-02,  3.90135e-02, -3.87779e-02,  7.83765e-05,
   312, -4.34130e-02, -4.33476e-02, -8.15066e-02,  3.90427e-02, -3.87441e-02,  1.04656e-04,
   313, -4.97307e-02, -4.97307e-02, -8.78569e-02,  3.89878e-02, -3.88286e-02,  6.20519e-05,
   314, -4.97456e-02, -4.97456e-02, -8.78151e-02,  3.90413e-02, -3.87436e-02,  1.05942e-04,
   315, -4.34076e-02, -4.33680e-02, -9.10112e-02,  3.90693e-02, -3.87309e-02,  1.37619e-04,
   316, -3.70688e-02, -3.69804e-02, -9.42140e-02,  3.90960e-02, -3.87103e-02,  1.64165e-04,
   317, -4.33764e-02, -4.33764e-02, -1.00566e-01,  3.90152e-02, -3.88087e-02,  9.23427e-05,
   318, -4.33993e-02, -4.33993e-02, -1.00512e-01,  3.90938e-02, -3.87097e-02,  1.65725e-04,
   319, -3.70605e-02, -3.70117e-02, -1.03715e-01,  3.91109e-02, -3.87019e-02,  1.83815e-04,
   320, -3.07210e-02, -3.06177e-02, -1.06922e-01,  3.91298e-02, -3.86878e-02,  2.02146e-04,
   321, -3.70221e-02, -3.70221e-02, -1.13275e-01,  3.90325e-02, -3.87959e-02,  1.11179e-04,
   322, -3.70502e-02, -3.70502e-02, -1.13213e-01,  3.91280e-02, -3.86873e-02,  2.03521e-04,
   323, -3.07108e-02, -3.06561e-02, -1.16420e-01,  3.91375e-02, -3.86828e-02,  2.13230e-04,
   324, -2.43712e-02, -2.42578e-02, -1.19630e-01,  3.91528e-02, -3.86731e-02,  2.27566e-04,
   325, -3.06677e-02, -3.06677e-02, -1.25983e-01,  3.90436e-02, -3.87883e-02,  1.23704e-04,
   326, -3.06993e-02, -3.06993e-02, -1.25917e-01,  3.91497e-02, -3.86722e-02,  2.29843e-04,
   327, -2.43597e-02, -2.43010e-02, -1.29127e-01,  3.91603e-02, -3.86517e-02,  2.33106e-04,
   328, -1.80256e-02, -1.78982e-02, -1.32341e-01,  3.91784e-02, -3.86259e-02,  2.50644e-04,
   329, -2.43135e-02, -2.43134e-02, -1.38692e-01,  3.90578e-02, -3.87652e-02,  1.31262e-04,
   330, -2.43474e-02, -2.43473e-02, -1.38616e-01,  3.91810e-02, -3.86269e-02,  2.48979e-04,
   331, -1.80132e-02, -1.79445e-02, -1.41830e-01,  3.91686e-02, -3.85960e-02,  2.23773e-04,
   332, -2.43131e-02, -2.43132e-02, -2.43135e-02,  3.67963e-02, -3.82464e-02,  1.57849e-03,
   333, -3.07449e-02, -3.03765e-02, -2.13493e-02,  3.69648e-02, -3.84354e-02,  1.42663e-03,
   334, -3.04544e-02, -3.04544e-02, -3.04547e-02,  3.67623e-02, -3.83754e-02,  1.61325e-03,
   335, -3.06671e-02, -3.06672e-02, -3.06673e-02,  3.72150e-02, -3.84943e-02,  1.27002e-03,
   336, -2.42353e-02, -2.46037e-02, -3.36317e-02,  3.73003e-02, -3.86625e-02,  9.69897e-04,
   337, -1.78923e-02, -1.85150e-02, -3.68497e-02,  3.76450e-02, -3.89753e-02,  4.45170e-04,
   338, -1.78269e-02, -1.84496e-02, -3.66623e-02,  3.76360e-02, -3.88749e-02,  5.27083e-04,
   339, -2.41459e-02, -2.46277e-02, -4.29107e-02,  3.76294e-02, -3.89261e-02,  4.05915e-04,
   340, -2.42113e-02, -2.46931e-02, -4.30981e-02,  3.76599e-02, -3.89823e-02,  3.69862e-04,
   341, -1.78031e-02, -1.85389e-02, -4.61288e-02,  3.77607e-02, -3.90347e-02,  2.65462e-04,
   342, -1.14155e-02, -1.23515e-02, -4.93592e-02,  3.79544e-02, -3.91423e-02,  5.86270e-05,
   343, -1.14065e-02, -1.23425e-02, -4.91904e-02,  3.79572e-02, -3.91036e-02,  9.73697e-05,
   344, -1.77908e-02, -1.85423e-02, -5.54824e-02,  3.79513e-02, -3.91306e-02,  4.97440e-05,
   345, -1.77998e-02, -1.85513e-02, -5.56511e-02,  3.79708e-02, -3.91762e-02, -5.46348e-06,
   346, -1.14032e-02, -1.23548e-02, -5.87128e-02,  3.80214e-02, -3.92049e-02, -6.30227e-05,
   347, -4.98477e-03, -6.11065e-03, -6.19540e-02,  3.81216e-02, -3.92846e-02, -1.95067e-04,
   348, -5.01192e-03, -6.13780e-03, -6.17895e-02,  3.81199e-02, -3.92594e-02, -1.72100e-04,
   349, -1.14404e-02, -1.23449e-02, -6.81072e-02,  3.81185e-02, -3.92733e-02, -2.03134e-04,
   350, -1.14132e-02, -1.23178e-02, -6.82717e-02,  3.81331e-02, -3.92981e-02, -2.31191e-04,
   351, -5.02191e-03, -6.10074e-03, -7.13484e-02,  3.81533e-02, -3.93147e-02, -2.61128e-04,
   352,  1.41341e-03,  1.73490e-04, -7.45956e-02,  3.82065e-02, -3.93576e-02, -3.33334e-04,
   353,  1.36645e-03,  1.26533e-04, -7.44326e-02,  3.82037e-02, -3.93444e-02, -3.21133e-04,
   354, -5.08610e-03, -6.08361e-03, -8.07639e-02,  3.82050e-02, -3.93515e-02, -3.37919e-04,
   355, -5.03914e-03, -6.03665e-03, -8.09269e-02,  3.82163e-02, -3.93697e-02, -3.59410e-04,
   356,  1.34922e-03,  1.90639e-04, -8.40111e-02,  3.82152e-02, -3.93784e-02, -3.70795e-04,
   357,  7.79495e-03,  6.47891e-03, -8.72629e-02,  3.82371e-02, -3.94061e-02, -4.11018e-04,
   358,  7.73694e-03,  6.42090e-03, -8.70975e-02,  3.82334e-02, -3.93990e-02, -4.04797e-04,
   359,  1.26992e-03,  2.11825e-04, -9.34354e-02,  3.82358e-02, -3.94016e-02, -4.14234e-04,
   360,  1.32794e-03,  2.69839e-04, -9.36008e-02,  3.82440e-02, -3.94111e-02, -4.26090e-04,
   361,  7.71565e-03,  6.50010e-03, -9.66872e-02,  3.82333e-02, -3.94146e-02, -4.26945e-04,
   362,  1.41662e-02,  1.27926e-02, -9.99414e-02,  3.82377e-02, -3.94265e-02, -4.44709e-04,
   363,  1.41034e-02,  1.27298e-02, -9.97732e-02,  3.82353e-02, -3.94251e-02, -4.42651e-04,
   364,  7.62984e-03,  6.52304e-03, -1.06113e-01,  3.82375e-02, -3.94259e-02, -4.45257e-04,
   365,  7.69263e-03,  6.58583e-03, -1.06281e-01,  3.82425e-02, -3.94322e-02, -4.54373e-04,
   366,  1.40804e-02,  1.28155e-02, -1.09367e-01,  3.82348e-02, -3.94269e-02, -4.44908e-04,
   367, -3.70740e-02, -3.68261e-02, -2.76332e-02,  3.76283e-02, -3.85539e-02,  9.86827e-04,
   368, -3.68785e-02, -3.68786e-02, -3.68786e-02,  3.75004e-02, -3.85760e-02,  1.09653e-03,
   369, -3.70217e-02, -3.70217e-02, -3.70217e-02,  3.78277e-02, -3.86454e-02,  8.16653e-04,
   370, -3.06148e-02, -3.08628e-02, -4.00559e-02,  3.76700e-02, -3.87894e-02,  6.41543e-04,
   371, -2.42552e-02, -2.47370e-02, -4.32785e-02,  3.77319e-02, -3.90314e-02,  3.10217e-04,
   372, -3.05547e-02, -3.08791e-02, -4.93628e-02,  3.77232e-02, -3.90021e-02,  2.87550e-04,
   373, -3.05987e-02, -3.09231e-02, -4.95432e-02,  3.78778e-02, -3.90210e-02,  2.39245e-04,
   374, -2.41952e-02, -2.47532e-02, -5.25855e-02,  3.78495e-02, -3.91172e-02,  1.19743e-04,
   375, -1.77905e-02, -1.85421e-02, -5.58233e-02,  3.80053e-02, -3.92247e-02, -8.17702e-05,
   376, -2.42078e-02, -2.47498e-02, -6.19543e-02,  3.80052e-02, -3.92237e-02, -8.23265e-05,
   377, -2.41986e-02, -2.47406e-02, -6.21265e-02,  3.80508e-02, -3.92184e-02, -9.21998e-05,
   378, -1.78032e-02, -1.85387e-02, -6.51921e-02,  3.80670e-02, -3.92676e-02, -1.65222e-04,
   379, -1.13760e-02, -1.22806e-02, -6.84368e-02,  3.81542e-02, -3.93202e-02, -2.71369e-04,
   380, -1.78541e-02, -1.85251e-02, -7.45958e-02,  3.81544e-02, -3.93214e-02, -2.70527e-04,
   381, -1.78169e-02, -1.84879e-02, -7.47608e-02,  3.81853e-02, -3.93220e-02, -2.82906e-04,
   382, -1.14269e-02, -1.22670e-02, -7.78404e-02,  3.81856e-02, -3.93514e-02, -3.23139e-04,
   383, -4.98505e-03, -5.98256e-03, -8.10902e-02,  3.82323e-02, -3.93876e-02, -3.89095e-04,
   384, -1.15008e-02, -1.22472e-02, -8.72629e-02,  3.82324e-02, -3.93878e-02, -3.88918e-04,
   385, -1.14467e-02, -1.21931e-02, -8.74262e-02,  3.82522e-02, -3.93840e-02, -3.91983e-04,
   386, -5.05899e-03, -5.96280e-03, -9.05127e-02,  3.82388e-02, -3.94017e-02, -4.11237e-04,
   387,  1.39004e-03,  3.31938e-04, -9.37655e-02,  3.82548e-02, -3.94196e-02, -4.42738e-04,
   388, -5.14387e-03, -5.94012e-03, -9.99416e-02,  3.82548e-02, -3.94200e-02, -4.42475e-04,
   389, -5.08177e-03, -5.87802e-03, -1.00106e-01,  3.82719e-02, -3.94175e-02, -4.45037e-04,
   390,  1.30516e-03,  3.54624e-04, -1.03194e-01,  3.82496e-02, -3.94285e-02, -4.51903e-04,
   391,  7.75818e-03,  6.65138e-03, -1.06450e-01,  3.82483e-02, -3.94389e-02, -4.66424e-04,
   392,  1.21556e-03,  3.78576e-04, -1.12624e-01,  3.82488e-02, -3.94402e-02, -4.65381e-04,
   393,  1.28112e-03,  4.44134e-04, -1.12792e-01,  3.82619e-02, -3.94347e-02, -4.64866e-04,
   394,  7.66858e-03,  6.67533e-03, -1.15879e-01,  3.82462e-02, -3.94396e-02, -4.65108e-04,
   395, -4.34078e-02, -4.32573e-02, -3.39314e-02,  3.81320e-02, -3.86919e-02,  6.08451e-04,
   396, -4.32891e-02, -4.32892e-02, -4.32891e-02,  3.80676e-02, -3.87179e-02,  6.64994e-04,
   397, -4.33760e-02, -4.33761e-02, -4.33760e-02,  3.82911e-02, -3.87610e-02,  4.72929e-04,
   398, -3.69899e-02, -3.71405e-02, -4.64663e-02,  3.80912e-02, -3.88572e-02,  3.93598e-04,
   399, -3.06256e-02, -3.09500e-02, -4.96803e-02,  3.80448e-02, -3.90200e-02,  1.96922e-04,
   400, -3.69533e-02, -3.71504e-02, -5.58341e-02,  3.80408e-02, -3.90069e-02,  1.86265e-04,
   401, -3.69801e-02, -3.71773e-02, -5.59711e-02,  3.81898e-02, -3.90228e-02,  1.23424e-04,
   402, -3.05890e-02, -3.09598e-02, -5.90481e-02,  3.80693e-02, -3.91215e-02,  3.34991e-05,
   403, -2.41828e-02, -2.47248e-02, -6.22826e-02,  3.81113e-02, -3.92240e-02, -1.15360e-04,
   404, -3.06105e-02, -3.09542e-02, -6.84393e-02,  3.81093e-02, -3.92169e-02, -1.20517e-04,
   405, -3.05948e-02, -3.09385e-02, -6.85953e-02,  3.82137e-02, -3.91997e-02, -1.26408e-04,
   406, -2.42044e-02, -2.47191e-02, -7.16738e-02,  3.81579e-02, -3.92736e-02, -2.06867e-04,
   407, -1.77745e-02, -1.84456e-02, -7.49174e-02,  3.82218e-02, -3.93324e-02, -3.08431e-04,
   408, -2.42623e-02, -2.47037e-02, -8.10913e-02,  3.82216e-02, -3.93313e-02, -3.09214e-04,
   409, -2.42199e-02, -2.46613e-02, -8.12478e-02,  3.82785e-02, -3.93062e-02, -2.95346e-04,
   410, -1.78324e-02, -1.84301e-02, -8.43349e-02,  3.82412e-02, -3.93561e-02, -3.49980e-04,
   411, -1.13902e-02, -1.21367e-02, -8.75833e-02,  3.82736e-02, -3.93876e-02, -4.05486e-04,
   412, -1.79096e-02, -1.84095e-02, -9.37658e-02,  3.82735e-02, -3.93875e-02, -4.05537e-04,
   413, -1.78531e-02, -1.83531e-02, -9.39228e-02,  3.83196e-02, -3.93646e-02, -3.90333e-04,
   414, -1.14674e-02, -1.21161e-02, -9.70142e-02,  3.82775e-02, -3.94014e-02, -4.25076e-04,
   415, -5.01813e-03, -5.81438e-03, -1.00266e-01,  3.82885e-02, -3.94212e-02, -4.55515e-04,
   416, -1.15544e-02, -1.20928e-02, -1.06450e-01,  3.82885e-02, -3.94212e-02, -4.55525e-04,
   417, -1.14907e-02, -1.20292e-02, -1.06610e-01,  3.83247e-02, -3.93971e-02, -4.36541e-04,
   418, -5.10512e-03, -5.79113e-03, -1.09702e-01,  3.82792e-02, -3.94255e-02, -4.58712e-04,
   419,  1.34698e-03,  5.10002e-04, -1.12955e-01,  3.82719e-02, -3.94338e-02, -4.69789e-04,
   420, -5.19514e-03, -5.76707e-03, -1.19135e-01,  3.82722e-02, -3.94356e-02, -4.68608e-04,
   421, -5.12927e-03, -5.70120e-03, -1.19299e-01,  3.83058e-02, -3.94128e-02, -4.51075e-04,
   422,  1.25696e-03,  5.34067e-04, -1.22389e-01,  3.82675e-02, -3.94329e-02, -4.65136e-04,
   423, -4.97476e-02, -4.96667e-02, -4.02454e-02,  3.84980e-02, -3.87932e-02,  3.33864e-04,
   424, -4.96838e-02, -4.96839e-02, -4.96837e-02,  3.84680e-02, -3.88154e-02,  3.57340e-04,
   425, -4.97305e-02, -4.97306e-02, -4.97304e-02,  3.86086e-02, -3.88400e-02,  2.36046e-04,
   426, -4.33590e-02, -4.34399e-02, -5.28610e-02,  3.84254e-02, -3.89087e-02,  1.98625e-04,
   427, -3.69906e-02, -3.71878e-02, -5.60665e-02,  3.83390e-02, -3.90202e-02,  7.86457e-05,
   428, -4.33447e-02, -4.34438e-02, -6.22866e-02,  3.83371e-02, -3.90149e-02,  7.42286e-05,
   429, -4.33552e-02, -4.34544e-02, -6.23820e-02,  3.84765e-02, -3.90129e-02,  3.22888e-05,
   430, -3.69763e-02, -3.71916e-02, -6.54922e-02,  3.83311e-02, -3.91021e-02, -3.57606e-05,
   431, -3.05758e-02, -3.09195e-02, -6.87160e-02,  3.83233e-02, -3.91787e-02, -1.34317e-04,
   432, -3.70023e-02, -3.71848e-02, -7.49222e-02,  3.83227e-02, -3.91762e-02, -1.36245e-04,
   433, -3.69833e-02, -3.71658e-02, -7.50428e-02,  3.84318e-02, -3.91519e-02, -1.40498e-04,
   434, -3.06018e-02, -3.09126e-02, -7.81460e-02,  3.83271e-02, -3.92335e-02, -2.13983e-04,
   435, -2.41791e-02, -2.46205e-02, -8.13813e-02,  3.83398e-02, -3.92899e-02, -2.92195e-04,
   436, -3.06575e-02, -3.08978e-02, -8.75848e-02,  3.83387e-02, -3.92862e-02, -2.94862e-04,
   437, -3.06167e-02, -3.08571e-02, -8.77183e-02,  3.84289e-02, -3.92458e-02, -2.68027e-04,
   438, -2.42348e-02, -2.46057e-02, -9.08201e-02,  3.83484e-02, -3.93171e-02, -3.35932e-04,
   439, -1.77993e-02, -1.82992e-02, -9.40616e-02,  3.83647e-02, -3.93518e-02, -3.87624e-04,
   440, -2.43085e-02, -2.45860e-02, -1.00267e-01,  3.83645e-02, -3.93507e-02, -3.88432e-04,
   441, -2.42546e-02, -2.45321e-02, -1.00406e-01,  3.84367e-02, -3.93024e-02, -3.48249e-04,
   442, -1.78729e-02, -1.82795e-02, -1.03508e-01,  3.83585e-02, -3.93635e-02, -4.03036e-04,
   443, -1.14309e-02, -1.19693e-02, -1.06754e-01,  3.83570e-02, -3.93826e-02, -4.29066e-04,
   444, -1.79548e-02, -1.82577e-02, -1.12956e-01,  3.83570e-02, -3.93825e-02, -4.29099e-04,
   445, -1.78949e-02, -1.81978e-02, -1.13100e-01,  3.84247e-02, -3.93351e-02, -3.88577e-04,
   446, -1.15127e-02, -1.19474e-02, -1.16201e-01,  3.83447e-02, -3.93879e-02, -4.31390e-04,
   447, -5.06746e-03, -5.63938e-03, -1.19449e-01,  3.83330e-02, -3.93986e-02, -4.42798e-04,
   448, -1.15972e-02, -1.19248e-02, -1.25645e-01,  3.83335e-02, -3.94001e-02, -4.41652e-04,
   449, -1.15354e-02, -1.18630e-02, -1.25794e-01,  3.83911e-02, -3.93516e-02, -3.98738e-04,
   450, -5.15195e-03, -5.61679e-03, -1.28892e-01,  3.83229e-02, -3.93951e-02, -4.32605e-04,
   451, -5.60924e-02, -5.60570e-02, -4.65736e-02,  3.87380e-02, -3.88618e-02,  1.48929e-04,
   452, -5.60645e-02, -5.60645e-02, -5.60643e-02,  3.87237e-02, -3.88769e-02,  1.58678e-04,
   453, -5.60850e-02, -5.60850e-02, -5.60848e-02,  3.88018e-02, -3.88886e-02,  9.10842e-05,
   454, -4.97231e-02, -4.97585e-02, -5.92416e-02,  3.86805e-02, -3.89322e-02,  7.15721e-05,
   455, -4.33554e-02, -4.34546e-02, -6.24371e-02,  3.86090e-02, -3.89986e-02,  5.72340e-06,
   456, -4.97228e-02, -4.97587e-02, -6.87179e-02,  3.86085e-02, -3.89972e-02,  4.20353e-06,
   457, -4.97230e-02, -4.97589e-02, -6.87730e-02,  3.87095e-02, -3.89926e-02, -2.46304e-05,
   458, -4.33552e-02, -4.34548e-02, -7.19135e-02,  3.85782e-02, -3.90641e-02, -7.43170e-05,
   459, -3.69635e-02, -3.71461e-02, -7.51245e-02,  3.85419e-02, -3.91236e-02, -1.39740e-04,
   460, -4.33822e-02, -4.34476e-02, -8.13831e-02,  3.85412e-02, -3.91211e-02, -1.41397e-04,
   461, -4.33625e-02, -4.34279e-02, -8.14648e-02,  3.86462e-02, -3.90836e-02, -1.25913e-04,
   462, -3.69906e-02, -3.71389e-02, -8.45942e-02,  3.85300e-02, -3.91658e-02, -1.95759e-04,
